Serbia,64397,64397,64397,64397
Seychelles,1090,1090,0,1090
Sierra Leone,5,5,0,5
Singapore,74909,74909,74909,74909
Sint Maarten,829,829,829,829
Slovakia,26930,26930,26930,26930
Slovenia,40809,40809,40682,40809
Solomon Islands,81,81,74,81
Somalia,181,181,134,181
South Africa,20441,20441,19898,20441
South Korea,177023,177023,174395,177023
South Sudan,3,3,3,3
Spain,426412,426412,425490,426412
Sri Lanka,27841,27841,12076,27841
Sudan,15109,15109,977,15109
Suriname,467,467,467,467
Swaziland,56,56,26,56
Sweden,29373,29373,28528,29373
Switzerland,97632,97632,97632,97632
Syria,28510,28510,381,28510
São Tomé and Príncipe,4,4,4,4
Taiwan,59091,59091,0,59091
Tajikistan,176,176,176,176
Tanzania,5173,5173,3367,5173
Thailand,58423,58423,54308,58423
The Bahamas,50,50,50,50
The Gambia,16,16,16,16
Timor-Leste,78,78,78,78
Togo,280,280,279,280
Trinidad and Tobago,2195,2195,1820,2195
Tunisia,339591,339592,328401,339592
Turkey,393308,393308,0,393308
Turkmenistan,765,765,709,765
U.S. Virgin Islands,52,52,0,52
Uganda,629,629,482,629
Ukraine,367047,367047,366619,367047
United Arab Emirates,14575,14575,13502,14575
United Kingdom,218631,218631,209942,218631
United States,1150962,1150963,1141029,1150963
Uruguay,30073,30073,30073,30073
Uzbekistan,5945,5945,3907,5945
Vanuatu,3,3,3,3
Venezuela,105392,105392,96456,105392
Vietnam,369246,369246,187129,369246
Yemen,9065,9065,1755,9065
Zambia,501,501,440,501
Zimbabwe,1628,1628,1352,1628
Åland Islands,14,14,12,14
